Offspring,Mother,Father,Cohort
119,9,K,C1
106,11,K,C1
81,15,K,C1
99,24,K,C1
116,32,K,C1
109,41,K,C1
101,43,K,C1
46,45,K,C1
52,53,K,C1
95,53,K,C1
115,53,K,C1
89,54,K,C1
19,58,K,C1
57,58,K,C1
113,58,K,C1
59,60,K,C1
88,60,K,C1
112,60,K,C1
104,70,K,C1
93,78,K,C1
90,3,R,C1
114,15,R,C1
110,45,R,C1
122,54,R,C1
102,56,R,C1
103,61,R,C1
24,70,R,C1
31,78,R,C1
121,78,R,C1
14,15,S,C1
22,21,S,C1
77,4,S,C1
76,8,G,C1
105,27,G,C1
84,32,G,C1
41,33,G,C1
85,33,G,C1
124,33,G,C1
36,35,G,C1
118,8,A,C1
18,6,A,C1
97,7,A,C1
7,17,A,C1
98,34,A,C1
120,37,A,C1
107,3,A,C1
117,23,A,C1
165,15,65,C2
163,38,65,C2
156,41,65,C2
152,61,65,C2
188,67,65,C2
144,78,65,C2
160,91,65,C2
201,97,65,C2
157,11,30,C2
155,32,30,C2
140,81,30,C2
167,9,5,C2
203,9,5,C2
137,15,5,C2
168,19,5,C2
153,21,5,C2
176,43,5,C2
198,48,5,C2
189,60,5,C2
143,58,62,C2
195,118,66,C2
207,38,63,C2
