Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R001F001M0,R001F001M1,R0R0,0.5,0.4903,0.5214,0.4289,0.644,0.5905,0.5
R001F002M0,R001F002M1,R0R0,0.471,0.5606,0.641,0.5988,0.3407,0.5991,0.5745
R001F003M0,R001F003M1,R0R0,0.5,0.4935,0.5214,0.4484,0.606,0.5916,0.5
R001F004M0,R001F004M1,R0R0,0.7032,0.8948,0.8803,0.8894,0.3368,0.8445,0.8469
R001F005M0,R001F005M1,R0R0,0.493,0.4552,0.4017,0.4024,0.4483,0.582,0.493
R001F006M0,R001F006M1,R0R0,0.3363,0.4969,0.5214,0.1331,-0.0496,0.3065,0.3363
R001F007M0,R001F007M1,R0R0,0.3745,0.713,0.7607,0.4556,0.1087,0.6856,0.6602
R001F008M0,R001F008M1,R0R0,0.5,0.5644,0.641,0.9017,0.6855,0.6835,0.5
R001F009M0,R001F009M1,R0R0,0.2632,0.2555,0.1624,0.1654,0.0273,0.2852,0.2632
R001F010M0,R001F010M1,R0R0,0.2841,0.3387,0.4017,0.1125,0.0677,0.4125,0.2841
R001F011M0,R001F011M1,R0R0,0.0286,0.3609,0.2821,0.0088,0.0016,0.2778,0.0286
R001F012M0,R001F012M1,R0R0,0.4441,0.4584,0.5214,0.7735,0.9706,0.3684,0.5971
R001F013M0,R001F013M1,R0R0,0.5694,0.8394,0.8803,0.807,0.3776,0.8809,0.8084
R001F014M0,R001F014M1,R0R0,0.4851,0.4801,0.2821,0.3631,0.5349,0.3017,0.4855
R001F015M0,R001F015M1,R0R0,0.5,0.342,0.2821,0.3839,0.6069,0.3603,0.5
R001F016M0,R001F016M1,R0R0,0,0.0812,0.0428,-0.0565,0.0137,-0.1443,0
R001F017M0,R001F017M1,R0R0,0.5,0.4751,0.4017,0.5229,0.2939,0.4332,0.5
R001F018M0,R001F018M1,R0R0,0.4462,0.4749,0.4017,0.2831,0.1174,0.3012,0.4462
R001F019M0,R001F019M1,R0R0,0,0.0631,0.0428,-0.0365,-0.1104,-0.1717,0
R001F020M0,R001F020M1,R0R0,0.3946,0.6201,0.5214,0.775,0.4145,0.6183,0.5465
R001F021M0,R001F021M1,R0R0,0.5,0.3609,0.4017,0.5359,0.3024,0.4015,0.5
R001F022M0,R001F022M1,R0R0,0.5,0.4979,0.5214,0.6649,0.59,0.4985,0.5
R001F023M0,R001F023M1,R0R0,0.5,0.4781,0.4017,0.8494,1.0455,0.448,0.5
R001F024M0,R001F024M1,R0R0,0.4636,0.4895,0.5214,0.367,0.1358,0.5131,0.4636
R001F025M0,R001F025M1,R0R0,0.5,0.5794,0.641,0.6713,0.721,0.6555,0.528
R001F026M0,R001F026M1,R0R0,0.5,0.5924,0.5214,0.5318,0.2311,0.6484,0.5
R001F027M0,R001F027M1,R0R0,0.3298,0.5606,0.641,0.3647,0.6491,0.5048,0.6558
R001F028M0,R001F028M1,R0R0,0.5,0.5915,0.641,0.3684,0.1898,0.5981,0.5
R001F029M0,R001F029M1,R0R0,0.5,0.4554,0.5214,0.2819,0.1964,0.4449,0.5
R001F030M0,R001F030M1,R0R0,0.4645,0.2417,0.2821,0.4225,0.14,0.3265,0.4645
R001F031M0,R001F031M1,R0R0,0.75,0.8828,0.8803,0.9313,0.7514,0.8988,0.8641
R001F032M0,R001F032M1,R0R0,0.5,0.4621,0.4017,0.3157,0.4087,0.4876,0.5
R001F033M0,R001F033M1,R0R0,0.5081,0.4962,0.5214,0.5909,0.2874,0.4903,0.5081
R001F034M0,R001F034M1,R0R0,0.5967,0.7252,0.7607,0.6467,0.38,0.7769,0.6608
R001F035M0,R001F035M1,R0R0,0.079,-0.1411,-0.1965,-0.0485,-0.0308,-0.4035,0.0824
R001F036M0,R001F036M1,R0R0,0.5,0.4801,0.5214,0.2156,0.1582,0.5177,0.5
R001F037M0,R001F037M1,R0R0,0.3333,0.5125,0.5214,0.4998,0.2266,0.4185,0.5313
R001F038M0,R001F038M1,R0R0,0.5,0.5142,0.5214,0.5509,0.3703,0.4738,0.5055
R001F039M0,R001F039M1,R0R0,0.4999,0.7316,0.7607,0.3129,0.1755,0.7309,0.5879
R001F040M0,R001F040M1,R0R0,0.5,0.3486,0.4017,0.3436,0.2378,0.4284,0.5
R001F041M0,R001F041M1,R0R0,0.3402,0.6348,0.641,0.54,0.2256,0.5942,0.5918
R001F042M0,R001F042M1,R0R0,0.536,0.6357,0.641,0.8698,0.9921,0.5984,0.6528
R001F043M0,R001F043M1,R0R0,0.7215,0.8768,0.8803,0.8054,0.5626,0.8367,0.8155
R001F044M0,R001F044M1,R0R0,0.5,0.5743,0.641,0.956,4.1409,0.6739,0.6428
R001F045M0,R001F045M1,R0R0,0.4411,0.4709,0.5214,0.1817,0.0926,0.4477,0.4411
R001F046M0,R001F046M1,R0R0,0.1065,0.2332,0.2821,0.1179,-0.0087,-0.1875,0.145
R001F047M0,R001F047M1,R0R0,0.5235,0.5915,0.641,0.3957,0.1773,0.5558,0.5235
R001F048M0,R001F048M1,R0R0,0.5,0.4781,0.4017,0.9488,3.136,0.4596,0.5
R001F049M0,R001F049M1,R0R0,0.5,0.4979,0.5214,0.255,0.2473,0.4012,0.5
R001F050M0,R001F050M1,R0R0,0.5,0.6069,0.641,0.6131,0.6367,0.5807,0.5178
R001F051M0,R001F051M1,R0R0,0.5026,0.6357,0.641,0.5303,0.4404,0.545,0.6314
R001F052M0,R001F052M1,R0R0,0.3417,0.3034,0.4017,0.2813,0.4408,0.1444,0.3566
R001F053M0,R001F053M1,R0R0,0.5,0.465,0.2821,0.2849,0.1686,0.4231,0.5
R001F054M0,R001F054M1,R0R0,0.5,0.224,0.0428,0.7436,1.1963,0.1335,0.5
R001F055M0,R001F055M1,R0R0,0.3817,0.19,0.1624,0.3745,0.5284,0.025,0.3817
R001F056M0,R001F056M1,R0R0,0.2689,0.4071,0.4017,0.646,0.5272,0.1682,0.51
R001F057M0,R001F057M1,R0R0,0.3501,0.0343,-0.0769,0.7729,1.4736,0.3305,0.3501
R001F058M0,R001F058M1,R0R0,0.0171,0.2505,0.2821,0.0014,0.0509,-0.018,0.0243
R001F059M0,R001F059M1,R0R0,0.5,0.3575,0.2821,0.6481,0.4166,0.377,0.5
R001F060M0,R001F060M1,R0R0,0.3569,0.4711,0.4017,0.1924,0.2719,0.4594,0.3571
R001F061M0,R001F061M1,R0R0,0.5,0.3697,0.2821,0.3726,0.2372,0.1935,0.5
R001F062M0,R001F062M1,R0R0,0.3406,0.4781,0.5214,0.1029,0.0196,0.385,0.3406
R001F063M0,R001F063M1,R0R0,0.6484,0.7211,0.7607,0.8126,0.6396,0.8074,0.725
R001F064M0,R001F064M1,R0R0,0.1531,0.0991,0.0428,0.0787,0.2605,0.2718,0.2256
R001F065M0,R001F065M1,R0R0,0.5,0.3659,0.4017,0.4515,0.3683,0.2601,0.5
R001F066M0,R001F066M1,R0R0,0.4089,0.3232,0.2821,0.1455,0.3622,0.2718,0.4089
R001F067M0,R001F067M1,R0R0,0.5929,0.7563,0.7607,0.7195,0.3069,0.5594,0.7514
R001F068M0,R001F068M1,R0R0,0.5316,0.74,0.641,0.4437,0.7003,0.7044,0.649
R001F069M0,R001F069M1,R0R0,0.5444,0.5974,0.641,0.7975,1.2245,0.7118,0.6358
R001F070M0,R001F070M1,R0R0,0.5,0.5915,0.5214,0.4275,0.1896,0.6522,0.5
R001F071M0,R001F071M1,R0R0,0,0.0274,0.0428,-0.046,-0.0266,0.1743,0
R001F072M0,R001F072M1,R0R0,0.2565,0.521,0.5214,0.3843,0.075,0.5259,0.4091
R001F073M0,R001F073M1,R0R0,0.5,0.5028,0.4017,0.593,1.6482,0.4873,0.5583
R001F074M0,R001F074M1,R0R0,0.4413,0.7222,0.641,0.5985,0.3437,0.739,0.6304
R001F075M0,R001F075M1,R0R0,0.4801,0.3379,0.4017,0.2276,0.509,0.3588,0.5
R001F076M0,R001F076M1,R0R0,0.0778,0.0807,0.1624,0.0714,0.1097,0.3271,0.1181
R001F077M0,R001F077M1,R0R0,0.3568,0.466,0.4017,0.186,0.2639,0.5212,0.3568
R001F078M0,R001F078M1,R0R0,0.4408,0.4375,0.5214,0.4895,1.2515,0.6589,0.5656
R001F079M0,R001F079M1,R0R0,0.0197,0.4651,0.4017,0.1042,-0.0361,0.4048,0.172
R001F080M0,R001F080M1,R0R0,0.4486,0.6077,0.641,0.2801,0.4191,0.6661,0.5845
R001F081M0,R001F081M1,R0R0,0.3764,0.6144,0.641,0.6202,0.4297,0.6361,0.6254
R001F082M0,R001F082M1,R0R0,0.3003,0.4568,0.4017,0.8837,2.8763,0.5818,0.4351
R001F083M0,R001F083M1,R0R0,0.5,0.2142,0.1624,0.1966,0.1448,0.21,0.5
R001F084M0,R001F084M1,R0R0,0.5,0.4742,0.5214,0.4026,0.1418,0.5624,0.5
R001F085M0,R001F085M1,R0R0,0.5,0.4571,0.4017,0.536,0.5552,0.4027,0.5
R001F086M0,R001F086M1,R0R0,0.5,0.3609,0.2821,0.9337,3.0163,0.3823,0.5
R001F087M0,R001F087M1,R0R0,0.5198,0.5009,0.5214,0.5407,0.6691,0.572,0.5198
R001F088M0,R001F088M1,R0R0,0.3881,0.3656,0.4017,0.259,0.282,0.1963,0.3881
R001F089M0,R001F089M1,R0R0,0.5221,0.5957,0.641,0.7014,0.7104,0.6138,0.5221
R001F090M0,R001F090M1,R0R0,0.5,0.3403,0.4017,0.288,0.1819,0.3833,0.5
R001F091M0,R001F091M1,R0R0,0.5,0.2427,0.2821,0.218,0.31,0.1902,0.5
R001F092M0,R001F092M1,R0R0,0.3139,0.5987,0.5214,0.538,0.3581,0.4841,0.5853
R001F093M0,R001F093M1,R0R0,0.4504,0.2255,0.2821,0.3038,0.0192,0.1858,0.4504
R001F094M0,R001F094M1,R0R0,0.6,0.7025,0.641,0.8472,0.5804,0.8157,0.6416
R001F095M0,R001F095M1,R0R0,0,0.2427,0.1624,-0.0877,-0.1151,0.1569,0
R001F096M0,R001F096M1,R0R0,0.2058,0.3752,0.4017,0.2515,0.0713,0.1191,0.2427
R001F097M0,R001F097M1,R0R0,0.25,0.2142,0.1624,0.5869,0.6097,0.1304,0.5
R001F098M0,R001F098M1,R0R0,0.2803,0.4837,0.5214,0.3929,0.1759,0.5807,0.3949
R001F099M0,R001F099M1,R0R0,0.502,0.3933,0.4017,0.6551,0.8844,0.1594,0.5162
R001F100M0,R001F100M1,R0R0,0.5,0.3291,0.4017,0.5862,0.5446,0.0997,0.5
R002F001M0,R002F001M1,R0R0,0.75,0.8631,0.7607,0.9323,1.228,0.8808,0.8688
R002F002M0,R002F002M1,R0R0,0.3965,0.6012,0.641,0.7354,0.564,0.5198,0.6084
R002F003M0,R002F003M1,R0R0,0,-0.1417,-0.3162,-0.138,-0.129,-0.1261,0
R002F004M0,R002F004M1,R0R0,0.0821,0.2051,0.0428,0.6377,0.6038,0.0348,0.3574
R002F005M0,R002F005M1,R0R0,0.3136,0.4708,0.5214,0.2519,0.4073,-0.1062,0.3628
R002F006M0,R002F006M1,R0R0,0.5,0.4747,0.4017,0.4402,0.2825,0.439,0.5
R002F007M0,R002F007M1,R0R0,0.4033,0.5606,0.5214,0.402,0.5236,0.6593,0.4615
R002F008M0,R002F008M1,R0R0,0.2378,0.0755,0.1624,0.184,0.2399,0.4101,0.2574
R002F009M0,R002F009M1,R0R0,0.1158,-0.3024,-0.4358,0.2439,0.9542,-0.0859,0.1266
R002F010M0,R002F010M1,R0R0,0.3231,0.5116,0.5214,0.3798,0.4389,0.3717,0.5464
R002F011M0,R002F011M1,R0R0,0.0088,0.0656,0.0428,-0.148,-0.1741,-0.1543,0.0651
R002F012M0,R002F012M1,R0R0,0.4129,0.7063,0.7607,0.3119,0.2365,0.768,0.6619
R002F013M0,R002F013M1,R0R0,0.5,0.4592,0.4017,0.261,0.2573,0.2182,0.5
R002F014M0,R002F014M1,R0R0,0.5552,0.5794,0.641,0.7941,1.1288,0.7359,0.6644
R002F015M0,R002F015M1,R0R0,0.2867,0.5694,0.641,0.1937,0.1302,0.4025,0.3365
