No,Cohort,Mat_succ,Rep_succ,Time,Related_mean,Related_SD,Related_N,Related_mean_males,Related_SD_males,Related_N_males,Ter_map,Circ_1,Length_1,Circ_2,Length_2,Testo_mean,Testo_SD,Testo_N,Open,Me_open,Me_thick,Thick,Pmax
A,C1,8,8,8,0.15,0.22,31,0.003,0.007,6,73.4,81.3,55.9,73.7,21.6,51.3,35.3,60,17.6,26.5,38.2,17.6,4.4
G,C1,5,7,8,0.15,0.18,31,0.021,0.043,6,54.4,78.7,58.4,68.6,22.9,57.5,30.58,67,0,25.9,40.7,33.3,3
K,C1,14,20,8,0.18,0.21,31,0.071,0.129,6,67.6,81.3,74.9,68.6,19.1,81.9,68.35,55,6.1,42.4,45.5,6.1,2.88
R,C1,8,9,8,0.15,0.15,31,0.071,0.129,6,74.5,83.8,62.2,69.9,22.9,54.6,33.8,63,22.5,32.5,37.5,7.5,2.54
S,C1,3,3,7,0.06,0.13,31,0.027,0.041,6,12,77.5,57.2,55.9,26.7,45.3,24.48,50,0,0,50,50,0.9
123,C1,0,0,4,0.13,0.19,31,0.009,0.011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,C2,7,8,6,0.169,0.21,36,0.036,0.052,6,53.9,76.2,71.6,63.5,24.1,40.08,16.88,5,3.13,43.75,46.88,6.25,1.34
30,C2,3,3,6,0.085,0.15,36,0.22,0.312,6,59.5,78.74,80,67.3,29.2,71.4,38.95,4,10.34,51.72,31.03,6.9,2.33
62,C2,1,1,6,0.061,0.11,36,0.051,0.072,6,13.1,74.93,61,67.3,19.1,31.45,10.58,4,11.11,22.22,44.44,22.22,2.07
63,C2,1,1,6,0.089,0.14,36,0.025,0.055,6,69.1,79,71,72.5,19,36.82,13.33,5,0,26.32,36.84,36.84,1.91
65,C2,8,8,6,0.089,0.15,36,0.047,0.067,6,48.9,74,62,68,19.1,33.62,8.61,5,0,19.23,57.69,23.08,4.56
66,C2,1,1,6,0.11,0.17,36,0.182,0.257,6,23.3,75,63,67,28,39,6.86,5,0,83.33,16.67,0,0.6
