ID_mother,A,G,K,R,S,123,5,30,60,62,63,65,66
3,0.5,0,0,0,0,0,0,0,0.2419,0,0,0.1987,0
4,0,0.0636,0.2015,0.1884,0,0,0.2839,0,0,0.2075,0.2223,0,0
6,0,0.3738,0,0.0826,0.241,0,0.1862,0,0,0.06,0.1859,0,0
7,0.5444,0,0,0.314,0,0,0,0,0.1449,0,0,0.5,0
8,0,0,0.5152,0.2317,0,0.0778,0.2898,0.2011,0,0.2005,0.2031,0.1739,0.1573
9,0,0,0.3759,0.1111,0,0.3865,0,0.3021,0.154,0,0.0869,0,0.3319
11,0.151,0,0.5,0.2343,0,0.0816,0.5,0.0287,0.0824,0.1559,0,0.2373,0
15,0,0.1186,0.0129,0.1105,0,0,0.3473,0,0,0,0,0.1594,0
17,0.4344,0.3266,0,0.0785,0,0.018,0,0,0,0,0,0,0
21,0,0.5,0.0987,0.1833,0.3222,0,0.2821,0,0,0,0.029,0,0.1368
23,0.1121,0.2578,0.2088,0,0,0,0,0,0,0,0,0.4902,0
24,0,0,0,0.1333,0,0.0715,0.1369,0,0.0784,0,0,0,0.036
27,0,0.5,0,0.2767,0,0,0.1862,0,0,0,0.2203,0,0
32,0.5854,0.148,0,0.0987,0,0.0757,0,0,0,0,0,0,0.0057
33,0.4024,0.2312,0.2825,0.5518,0.0908,0.5,0,0.0939,0,0,0.1389,0,0.2659
34,0,0.5,0,0.5,0.0079,0,0.0562,0,0,0,0.0237,0,0
35,0,0,0.5037,0.5,0,0,0,0,0,0,0.4518,0,0
37,0,0,0.6112,0,0,0.4502,0.6415,0.2476,0.5,0.2071,0.222,0.5,0.2507
38,0,0.4519,0,0,0.5895,0.2561,0.2576,0.1374,0.1088,0.2998,0.2379,0,0.0624
41,0.0482,0.5,0,0,0,0.1346,0.5,0.1048,0,0,0,0,0.3243
43,0,0.2424,0.5,0.2579,0,0,0.1175,0,0.0036,0,0.1389,0,0
45,0.2355,0,0.5,0.1812,0,0,0,0,0.077,0,0.178,0,0
48,0,0,0.1835,0,0.1251,0.6112,0.4287,0.5987,0.6107,0.0637,0,0,0.5
53,0.7014,0.2625,0,0.1488,0,0.4729,0,0.1109,0,0.0925,0,0.1839,0.3112
54,0,0.0049,0,0.2762,0.0735,0.1991,0.0875,0.053,0.0931,0,0,0,0
56,0.1162,0.1028,0,0.2006,0.2309,0.1722,0,0.1826,0.2514,0.0254,0,0,0
58,0.5,0.1954,0,0,0,0,0,0,0,0.0153,0.0415,0.0576,0
60,0.2017,0,0.5316,0,0.0341,0.5553,0.4291,0.612,0,0,0,0,0.7486
61,0.1599,0,0.2814,0.1438,0,0.0685,0.6086,0.0252,0.1649,0.2347,0.0676,0.2786,0.1357
67,NA,NA,NA,NA,NA,NA,0.5831,0.0468,0.1282,0,0.0494,0,0.2957
70,0,0,0.1053,0,0,0,0.1462,0,0.1541,0,0.0238,0,0
78,0,0,0.1975,0,0,0,0,0,0,0,0.0726,0,0
81,NA,NA,NA,NA,NA,NA,0,0,0.0415,0.4669,0.6201,0.1712,0.0592
91,NA,NA,NA,NA,NA,NA,0,0.2106,0.4716,0.1538,0,0,0
97,NA,NA,NA,NA,NA,NA,0,0.1045,0.1449,0,0,0.1987,0.3246
118,NA,NA,NA,NA,NA,NA,0,0,0.2419,0,0,0.0458,0
,,,,,,,,,,,,,
